UPC,Product Name,POG Segment,Fixture,Position,FW,FH,C,SRP,New Flag,Delete Flag,Move Flag,Pusher,Tray,Magic Rec Stat,Prod Group,POG DBKey,Space Station Name,Space Station Version Description,Name,POG Status,POG Live Date,POG Pending Date
0007965614433,BBOAT SHR SENS LTN SPF50,2,3,3,1,1,0,,1,0,0,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965602580,BB KIDS SPORT CSPRAY SPF,2,3,4,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965602560,BB KIDS SPRT SPF50 TWN PK,2,3,5,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965601806,BB KIDS SPRT UM SPF50,2,3,6,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965614030,BBOAT KIDS SPF AD CNT MST,2,3,7,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965605082,BBOAT KIDS SPRAY SPF100,2,3,8,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965604662,BB ALOE LIP BALM SPF45,2,3,9,1,1,0,SRP,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965603223,BBOAT SPRT CLR SPRY SPF50,2,4,1,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965603179,BBOAT ULTMST SPORT SPF50,2,4,2,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965601332,BB SPRT SPF50 SPRY TWN PK,2,4,3,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965614293,BBOAT SPORT SPF50 SNSCRN,2,4,4,3,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965614029,BBOAT SPRT SPF AD CNT MST,2,4,5,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965604972,BBOAT SPRT SUN SPF50,2,4,6,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965603178,BBOAT SPRT ULTMST SPF30,2,5,1,2,1,0,,0,0,0,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965603165,BB SPRT SPF30 SPRY TWN PK,2,5,2,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965604971,BBOAT SPRT LOTION SPF30,2,5,3,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965613089,BBOAT SPR ULT SPF60 RN LT,2,5,4,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965605080,BBOAT SPRT SPRAY SPF100,2,5,5,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965604968,BBOAT SPRT SUN SPF100,2,5,6,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0036519750210,SLRCN AFTR SUN RLF SPRAY,3,1,1,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0072474200382,ALBA KD TRP FR SPRY SPF50,3,1,2,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0072474201023,ALBA BTNC WW SNSCRN SPRAY,3,1,3,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0072474200390,ALBA SPRT ISLND LTN SPF50,3,1,4,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0072474200389,ALBA FF SH MNRL LTN SPF30,3,1,5,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0072474200404,ALBA FF SH MIN SPRY SPF30,3,1,6,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0072474200381,ALBA VRY EMLNT FF SPF50,3,1,7,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0081000937008,THNKSPRT ASM SNSCRN SPRAY,3,1,8,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0081000937215,THINKSPORT CLEAR ZINC FAC,3,1,9,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0081000937804,THINKSPORT CLEAR ZINC 50,3,1,10,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
